 Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Flow Packets/s,Fwd Packets/s, Bwd Packets/s, Average Packet Size, Fwd Header Length.1, Label
8.6.0.1,0,8.0.6.4,0,0,2018-11-03 11:36:49.910088,69997400,8,0,0,0,0.114289959341347,0.114289959341347,0,0,0,BENIGN
192.168.50.8,60824,172.217.10.130,443,6,2018-11-03 11:36:50.001840,62369732,20,20,672,876,0.641336730451239,0.320668365225619,0.320668365225619,39.85,448,BENIGN
192.168.50.6,33854,192.168.50.4,31336,6,2018-11-03 11:36:28.610445,1,2,0,12,0,2000000,2000000,0,9,40,Syn
192.168.50.6,540,192.168.50.4,684,6,2018-11-03 11:36:28.610869,101,2,2,12,12,39603.9603960396,19801.9801980198,19801.9801980198,7.5,40,Syn
172.16.0.5,33858,192.168.50.4,2823,6,2018-11-03 11:36:28.610919,0,2,0,12,0,-1,0,0,9,40,Syn
172.16.0.5,8397,192.168.50.4,8397,6,2018-11-03 11:36:28.610971,45373601,10,0,60,0,0.220392470062052,0.220392470062052,0,6.6,200,Syn
172.16.0.5,33859,192.168.50.4,43758,6,2018-11-03 11:36:28.611021,100,2,2,12,12,40000,20000,20000,7.5,40,Syn
172.16.0.5,42127,192.168.50.4,42127,6,2018-11-03 11:36:28.611022,43242213,12,8,72,48,0.462511019035959,0.277506611421575,0.185004407614384,6.3,240,Syn
172.16.0.5,58573,192.168.50.4,58573,6,2018-11-03 11:36:28.611070,36920175,8,2,48,12,0.270854620813688,0.21668369665095,0.054170924162738,6.6,160,Syn
172.16.0.5,33860,192.168.50.4,11204,6,2018-11-03 11:36:28.611121,1,2,0,12,0,2000000,2000000,0,9,40,Syn
172.16.0.5,33861,192.168.50.4,1410,6,2018-11-03 11:36:28.611180,1,2,0,12,0,2000000,2000000,0,9,40,Syn
172.16.0.5,35594,192.168.50.4,35594,6,2018-11-03 11:36:28.611182,31286927,6,2,36,12,0.255697851054531,0.191773388290899,0.063924462763633,6.75,120,Syn
